,,"Apache","Apache","Apache","Apache",,"Kernel Compilation","Kernel Compilation","Kernel Compilation","Kernel Compilation",,"Create Files","Create Files","Create Files","Create Files",,"Create Processes","Create Processes","Create Processes","Create Processes",,"Create Threads","Create Threads","Create Threads","Create Threads",,"Launch Programs","Launch Programs","Launch Programs","Launch Programs",,"Memory Allocations","Memory Allocations","Memory Allocations","Memory Allocations"
,,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std",,"mean","pct_diff","pct_std","std"
"base",,20576.491,0,1.37019763427324,281.938592898445,,235.316181818182,0,0.833944116491882,1.96240545342607,,42.2069789,0,2.89724364258962,1.22283901290939,,38.6531352,0,0.92120776476672,0.356075682788179,,20.1818943,0,0.961046234761279,0.193957335273651,,61.6741179,0,0.321482704980396,0.198271622497718,,117.1687128,0,0.570544065861704,0.668499137926944
"bpfbox-passive",,19946.04,-3.06393835567006,1.17126617339087,233.621219451012,,237.946272727273,1.11768382810285,0.790430020087432,1.88079877131548,,49.0916416,16.3116690164242,0.815782794167554,0.400481165547201,,38.8071538,0.398463408474044,1.12828855759656,0.437856675854301,,21.0630893,4.3662650636318,1.18191322099261,0.248947437186179,,63.30204,2.63955473613673,0.435560586503289,0.275718736692548,,116.8669462,-0.257548788229077,0.155018880645667,0.181165831844014
"bpfcontain-passive",,19530.917,-5.08140090552853,1.62794802347179,317.953177267414,,237.627090909091,0.982044274666426,0.874761080388653,2.07866930773249,,48.1636267,14.1129451935258,0.741629242544763,0.357195539877294,,40.1728153,3.93158301942868,0.964104248541836,0.387307819066165,,21.2078095,5.08334443115182,1.42627237466076,0.30248112816918,,63.1163122,2.33841090737351,0.447373644428681,0.282365746118125,,120.0497864,2.45891034487833,1.05803900974048,1.27017357122212
"apparmor-passive",,20363.418,-1.03551669718613,1.62862690364641,331.644104049975,,236.445636363636,0.479973173424688,0.813905961048857,1.92444512900353,,43.8676968,3.93469976596689,2.16644355053036,0.950368888089813,,39.0443801,1.01219447782338,1.89227049322833,0.738825283896215,,20.3249454,0.708809083397079,1.25068079917778,0.254200189561167,,62.8390314,1.88882069118332,0.401341054175991,0.252198831054739,,117.2379972,0.059132167917771,0.825400454305051,0.967682961506946
"bpfbox-allow",,19465.857,-5.39758698409752,1.30389583949082,253.814499544231,,238.234090909091,1.23999508591534,0.918467468336262,2.18810262348663,,49.4139477,17.0753012601904,0.785545952749733,0.388169266251219,,39.2842294,1.63271154263318,1.04903769098927,0.412106373020686,,21.5613841,6.83528403971474,1.70795700190599,0.368259169443795,,63.4391309,2.86183744510434,0.626569069851848,0.397489972402228,,117.409277,0.205314366140237,0.607139627770384,0.7128382473457
"bpfcontain-allow",,18934.548,-7.97970363362732,1.58033100590267,299.228532871523,,243.091090909091,3.30402653605707,0.901441229861259,2.19132331957405,,53.4334957,26.5987215682949,1.88805014646036,1.00885119382274,,41.2685872,6.76646793712093,1.52289440104529,0.628477003859295,,22.1059323,9.53348566492094,1.01779098298404,0.224992185653957,,65.0455951,5.46659979063925,0.579434510430622,0.376896625524369,,116.4226293,-0.636760003733703,0.528691854533448,0.615516957942772
"apparmor-allow",,20276.951,-1.45573897901249,0.317120035812563,64.3022742728961,,237.589090909091,0.965895788953968,0.860372845669799,2.04415202245554,,47.0691407,11.5198053182622,2.44272596438632,1.14977012109243,,38.939476,0.740795794489667,0.86607805461417,0.337246256217752,,20.2915668,0.543420247721734,0.890709809266915,0.180738975941549,,63.1740092,2.43196230618485,0.325140915455434,0.20540455184278,,117.4916506,0.27561777566954,0.689047631803023,0.809573436025583
"bpfbox-complaining",,20139.104,-2.12566370038506,0.50441890734313,101.585448345496,,269.641727272727,14.5869889564447,0.734604456803185,1.98080014594654,,50.3389812,19.2669613223608,1.07060070519154,0.538929487713435,,39.5095348,2.21560190543095,0.832420764266113,0.328885571540144,,21.5747356,6.90143987128106,1.14981033999901,0.248068540756247,,65.220356,5.74996160585543,0.743079181325498,0.484638887422372,,117.6182984,0.383707893733891,0.639096458882157,0.751694380071848
"bpfcontain-complaining",,18293.094,-11.0971156355085,0.874632344890825,159.997317005282,,244.805,4.03236960097784,0.833334955064003,2.04004563674444,,55.6676466,31.8920426214158,1.35162006881683,0.752415083283629,,41.487694,7.33332182585802,1.8230109480227,0.756325203702161,,21.9571589,8.7963229497243,1.07132451264834,0.235232425576847,,65.6623839,6.46667700455266,0.463849579281081,0.304574691466076,,115.7347917,-1.22380886990509,0.899357164956168,1.04086914150104
"apparmor-complaining",,19827.047,-3.64223423712039,1.50436300884431,298.270760814176,,288.539363636364,22.6177313463742,0.731268754940486,2.10999821197683,,111.6599165,164.553207573926,0.670160956390357,0.748301164321075,,38.6812686,0.072784264082158,1.44567680720061,0.559206128881175,,20.3223229,0.695814763037364,0.809579639833302,0.16452538853958,,90.5551911,46.8285144293892,2.17442837238649,1.9690577679472,,116.8087961,-0.307178163350093,0.681416377142803,0.795954266568743
"suite","Apache",,,,,"Kernel Compilation",,,,,"OSBench",,,,,"OSBench",,,,,"OSBench",,,,,"OSBench",,,,,"OSBench",,,,
"test","Static Web Page Serving",,,,,"Time To Compile",,,,,"Test: Create Files",,,,,"Test: Create Processes",,,,,"Test: Create Threads",,,,,"Test: Launch Programs",,,,,"Test: Memory Allocations",,,,
"units","Requests Per Second",,,,,"Seconds",,,,,"μs Per Event",,,,,"μs Per Event",,,,,"μs Per Event",,,,,"μs Per Event",,,,,"Ns Per Event",,,,
